scientific_name,inat_common_name,ref_common_name,comment
Abacopteris,,,Missed common name on iNat
Abacopteris gymnopteridifrons,新月蕨,,Species not included in reference
Abacopteris nudata,,,Missed common name on iNat
Abelia,糯米条属,糯米条属,Matched
Abelia chinensis,糯米条,糯米条,Matched
Abelia macrotera,二翅六道木,二翅糯米条,Inconsistent common name
Abelia uniflora,蓪梗花,蓪梗花,Matched
Abelia × grandiflora,大花糯米条,大花糯米条,Matched
Abelmoschus,秋葵属,秋葵属,Matched
Abelmoschus esculentus,秋葵,咖啡黄葵,Inconsistent common name
Abelmoschus manihot,黄蜀葵,黄蜀葵,Matched
Abelmoschus moschatus,黄葵,黄葵,Matched
Abelmoschus sagittifolius,箭叶秋葵,箭叶秋葵,Matched
Abies,冷杉属,冷杉属,Matched
Abies beshanzuensis,百山祖冷杉,百山祖冷杉,Matched
Abies concolor,白冷杉,,Species not included in reference
Abies delavayi,苍山冷杉,苍山冷杉,Matched
Abies fabri,峨眉冷杉,冷杉,Inconsistent common name
Abies fargesii,巴山冷杉,巴山冷杉,Matched
Abies forrestii georgei,川滇冷杉,,Species not included in reference
Abies fraseri,弗雷泽冷杉,,Species not included in reference
Abies holophylla,杉松,杉松,Matched
Abroma,昂天莲属,昂天莲属,Matched
Abroma augustum,昂天莲,昂天莲,Matched
Abrus,相思子属,相思子属,Matched
Abrus precatorius,相思子,相思子,Matched
Abrus pulchellus,美丽相思子,美丽相思子,Matched
Abrus pulchellus cantoniensis,广州相思子,,Species not included in reference
Abrus pulchellus mollis,毛相思子,,Species not included in reference
Abutilon,苘麻属,苘麻属,Matched
Abutilon fruticosum,,,Missed common name on iNat
Abutilon grandifolium,大叶苘麻,,Species not included in reference
Abutilon hybridum,,,Missed common name on iNat
Abutilon indicum,磨盘草,磨盘草,Matched
Abutilon mauritianum,毛里求斯苘麻,,Species not included in reference
Abutilon theophrasti,苘麻,苘麻,Matched
Acacia,相思树属,相思树属,Matched
Acacia auriculiformis,大叶相思,大叶相思,Matched
Acacia confusa,台湾相思,台湾相思,Matched
Acacia dealbata,银荆,银荆,Matched
Acacia decurrens,,绿荆,Missed common name on iNat
Acacia mangium,马占相思,马占相思,Matched
Acacia mearnsii,黑荆,黑荆,Matched
Acacia melanoxylon,黑木相思,,Species not included in reference
Acacia podalyriifolia,珍珠金合欢,珍珠相思,Inconsistent common name
Acalypha,铁苋属,铁苋菜属,Inconsistent common name
Acalypha australis,铁苋菜,铁苋菜,Matched
Acalypha brachystachya,裂苞铁苋菜,,Species not included in reference
Acalypha hispida,红穗铁苋菜,红穗铁苋菜,Matched
Acalypha indica,热带铁苋,热带铁苋菜,Inconsistent common name
Acalypha ostryifolia,铁苋菜,,Species not included in reference
Acalypha pendula,红尾铁苋,,Species not included in reference
Acalypha rhomboidea,,,Missed common name on iNat
Acalypha siamensis,菱叶铁苋菜,,Species not included in reference
Acalypha wilkesiana,红桑,红桑,Matched
Acampe,脆兰属,脆兰属,Matched
Acampe joiceyana,美花脆兰,,Species not included in reference
Acampe praemorsa,多花脆兰,,Species not included in reference
Acampe praemorsa longepedunculata,多花脆兰,,Species not included in reference
Acampe rigida,多花脆兰,多花脆兰,Matched
Acantholimon alatavicum,,刺叶彩花,Missed common name on iNat
Acanthophippium,坛花兰属,,Species not included in reference
Acanthophippium sylhetense,坛花兰,,Species not included in reference
Acanthus,老鼠簕属,老鼠簕属,Matched
Acanthus ebracteatus,小花老鼠簕,小花老鼠簕,Matched
Acanthus ilicifolius,老鼠簕,老鼠簕,Matched
Acanthus leucostachyus,刺苞老鼠簕,刺苞老鼠簕,Matched
Acanthus mollis,虾蟆花,,Species not included in reference
Acanthus montanus,斑叶老鼠簕,,Species not included in reference
Acer,槭树属,槭属,Inconsistent common name
Acer buergerianum,三角槭,三角槭,Matched
Acer caesium,深灰槭,深灰槭,Matched
Acer caudatifolium,尖尾槭,尖尾槭,Matched
Acer caudatum,长尾槭,长尾槭,Matched
Acer cordatum,紫果槭,紫果槭,Matched
Acer coriaceifolium,樟叶槭,樟叶槭,Matched
Acer davidii,青榨槭(蛇皮枫),青榨槭,Inconsistent common name
Acer davidii grosseri,葛萝槭,,Species not included in reference
Acer duplicatoserratum,,重齿槭,Missed common name on iNat
Acer elegantulum,秀丽槭,秀丽槭,Matched
Acer fabri,罗浮槭,罗浮槭,Matched
Acer flabellatum,扇叶槭,扇叶槭,Matched
Acer ginnala,茶条枫,,Species not included in reference
Acer griseum,血皮枫(血皮槭),血皮槭,Inconsistent common name
Acer henryi,建始槭,建始槭,Matched
Acer japonicum,羽扇槭,羽扇槭,Matched
Acer linganense,,临安槭,Missed common name on iNat
Acer lucidum,亮叶槭,亮叶槭,Matched
Acer mandshuricum,东北槭,东北槭,Matched
Acer maximowiczii,五尖槭,五尖槭,Matched
Acer negundo,梣叶槭,梣叶槭,Matched
Acer oblongum,飞蛾槭,飞蛾槭,Matched
Acer oliverianum,五裂槭,五裂槭,Matched
Acer palmatum,鸡爪槭,鸡爪槭,Matched
Acer palmatum dissectum,,,Missed common name on iNat
Acer pauciflorum,,稀花槭,Missed common name on iNat
Acer pentaphyllum,五小叶槭,五小叶槭,Matched
Acer pictum,色木槭,色木槭,Matched
Acer pictum mono,五角枫,,Species not included in reference
Acer pilosum,疏毛槭,疏毛槭,Matched
Acer platanoides,挪威槭,,Species not included in reference
Acer pubinerve,毛脉槭,毛脉槭,Matched
Acer rubrum,红枫,,Species not included in reference
Acer saccharinum,银白槭,糖槭,Inconsistent common name
Acer saccharum,糖枫,,Species not included in reference
Acer serrulatum,台湾五裂枫,台湾五裂槭,Inconsistent common name
Acer sino-oblongum,,滨海槭,Missed common name on iNat
Acer tataricum,苦条枫,鞑靼槭,Inconsistent common name
Acer tegmentosum,青楷槭,青楷槭,Matched
Acer triflorum,三花槭,三花槭,Matched
Acer truncatum,元宝槭,元宝槭,Matched
Acer tutcheri,岭南槭,岭南槭,Matched
Acer ukurunduense,花楷枫,花楷槭,Inconsistent common name
Acer wilsonii,,三峡槭,Missed common name on iNat
Achetaria,蓝金花属,,Species not included in reference
Achetaria azurea,蓝金花,,Species not included in reference
Achillea,蓍属,蓍属,Matched
Achillea ageratum,,,Missed common name on iNat
Achillea alpina,高山蓍,高山蓍,Matched
Achillea millefolium,欧蓍,蓍,Inconsistent common name
Achillea ptarmica,珠蓍,,Species not included in reference
Achillea ptarmicoides,短瓣蓍,短瓣蓍,Matched
Achnatherum,芨芨草属,羽茅属,Inconsistent common name
Achnatherum pekinense,北京芨芨草,京芒草,Inconsistent common name
Achyranthes,牛膝属,牛膝属,Matched
Achyranthes aspera,土牛膝,土牛膝,Matched
Achyranthes aspera aspera,钝叶土牛膝,,Species not included in reference
Achyranthes bidentata,怀牛膝,牛膝,Inconsistent common name
Achyranthes indica,,,Missed common name on iNat
Achyranthes japonica,少毛牛膝,,Species not included in reference
Achyranthes longifolia,柳叶牛膝,柳叶牛膝,Matched
Acidosasa venusta,黎竹,黎竹,Matched
Ackama,,,Missed common name on iNat
Acmella,金扭扣属,金纽扣属,Inconsistent common name
Acmella brachyglossa,短舌花金钮扣,短舌花金纽扣,Inconsistent common name
Acmella calva,美形金钮扣,美形金纽扣,Inconsistent common name
Acmella ciliata,天文草,天文草,Matched
Acmella oleracea,桂圆菊,桂圆菊,Matched
Acmella paniculata,金钮扣,金纽扣,Inconsistent common name
Acmella radicans,白花金钮扣,,Species not included in reference
Acmella repens,沼菊草,,Species not included in reference
Acmella uliginosa,沼生金纽扣,沼生金纽扣,Matched
Acoelorraphe wrightii,沼地棕,,Species not included in reference
Aconitum,乌头属,乌头属,Matched
Aconitum alboviolaceum,两色乌头,两色乌头,Matched
Aconitum barbatum,细叶黄乌头,细叶黄乌头,Matched
Aconitum barbatum puberulum,牛扁,,Species not included in reference
Aconitum carmichaeli,乌头,,Species not included in reference
Aconitum carmichaelii,展毛乌头,乌头,Inconsistent common name
Aconitum coreanum,黄花乌头,黄花乌头,Matched
Aconitum flavum,,伏毛铁棒锤,Missed common name on iNat
Aconitum geniculatum,,膝瓣乌头,Missed common name on iNat
Aconitum hemsleyanum,瓜叶乌头,瓜叶乌头,Matched
Aconitum kusnezoffii,北乌头,北乌头,Matched
Aconitum leucostomum hopeiense,河北白喉乌头,,Species not included in reference
Aconitum longecassidatum,高帽乌头,高帽乌头,Matched
Aconitum lycoctonum,狼毒乌头,,Species not included in reference
Aconitum pendulum,铁棒槌,铁棒锤,Inconsistent common name
Aconitum racemulosum,岩乌头,岩乌头,Matched
Aconitum septentrionale,紫花高乌头,紫花高乌头,Matched
Aconitum sinomontanum,麻布七,高乌头,Inconsistent common name
Aconitum soongaricum,华北乌头,准噶尔乌头,Inconsistent common name
Aconitum stapfianum,玉龙乌头,玉龙乌头,Matched
Aconitum tanguticum,甘青乌头,甘青乌头,Matched
Aconitum tatsienense,,康定乌头,Missed common name on iNat
Acorus,菖蒲属,菖蒲属,Matched
Acorus calamus,菖蒲,菖蒲,Matched
Acorus gramineus,金钱蒲,金钱蒲,Matched
